init,0.06270787847423623,0.1,0,1,34.728245697502054,0
kthreadd,0.00024761255073735923,0,0,1,34.679168249858186,0
rcu_gp,0,0,0,1,34.74447378288466,0
rcu_par_gp,0,0,0,1,34.78726016659166,0
slub_flushwq,0,0,0,1,34.75684144266964,0
netns,0,0,0,1,34.72259803783145,0
kworker,0,0,0,1,34.79011974110842,0
mm_percpu_wq,0,0,0,1,34.710087399320635,0
rcu_tasks_kthread,0,0,0,1,34.70111548427431,0
rcu_tasks_rude_kthread,0,0,0,1,34.766421017300786,0
rcu_tasks_trace_kthread,0,0,0,1,34.75612654904045,0
ksoftirqd,0.0012380627536867962,0,0,1,34.77864569835993,0
rcu_preempt,0.027299283718793855,0,0,1,34.8011648476794,0
migration,0.00030951568842169905,0,0,1,34.850706976182245,0
idle_inject,0,0,0,1,34.721740165476426,0
cpuhp,0,0,0,1,34.7114456972161,0
kdevtmpfs,0.00012380627536867961,0,0,1,34.78125506010647,0
inet_frag_wq,0,0,0,1,34.73703888914109,0
kauditd,0.00006190313768433981,0,0,1,34.795588677371725,0
khungtaskd,0,0,0,1,34.77206867697138,0
oom_reaper,0,0,0,1,34.7683512300996,0
writeback,0,0,0,1,34.841127401551105,0
kcompactd0,0.0011142564783181166,0,0,1,34.80770612438649,0
ksmd,0,0,0,1,34.857248252889335,0
khugepaged,0,0,0,1,34.83773165681245,0
kintegrityd,0,0,0,1,34.82929591198802,0
kblockd,0,0,0,1,34.79448059224648,0
blkcg_punt_bio,0,0,0,1,34.8597503805915,0
tpm_dev_wq,0,0,0,1,34.74890612338564,0
ata_sff,0,0,0,1,34.718129952649015,0
md,0,0,0,1,34.778931655811604,0
md_bitmap,0,0,0,1,34.75809250652072,0
edac-poller,0,0,0,1,34.721203995254534,0
devfreq_wq,0,0,0,1,34.702044845992255,0
watchdogd,0,0,0,1,34.774106123814576,0
kswapd0,0,0,0,1,34.81689250752157,0
ecryptfs-kthread,0,0,0,1,34.78754612404334,0
kthrotld,0,0,0,1,34.855067827320305,0
acpi_thermal_pm,0,0,0,1,34.81782186923952,0
scsi_eh_0,0.00012380627536867961,0,0,1,34.796053358230694,0
scsi_tmf_0,0,0,0,1,34.86361080618912,0
scsi_eh_1,0.0001857094130530194,0,0,1,34.91540484962391,0
scsi_tmf_1,0,0,0,1,34.80613335840227,0
u12:3-events_unbound,0.03664665750912917,0,0,1,34.71891633564113,0
mld,0,0,0,1,34.79097761346345,0
ipv6_addrconf,0,0,0,1,34.858535061421875,0
kstrp,0,0,0,1,34.9260925093803,0
u13:0,0,0,0,1,34.7583784639724,0
charger_manager,0,0,0,1,34.828187826862774,0
scsi_eh_2,0,0,0,1,34.79079889005615,0
scsi_tmf_2,0,0,0,1,34.84934867828679,0
sda3-8,0.018447135029933264,0,0,1,34.92137421142765,0
ext4-rsv-conver,0,0,0,1,34.80895718823757,0
systemd-journald,0.005076057290115864,0.1,0,1,34.78075463456604,0
systemd-udevd,0.017332878551615145,0,0,1,34.855067827320305,0
irq,0,0,0,1,34.766278038574946,0
ttm,0,0,0,1,34.755268676685425,0
cryptd,0,0,0,1,34.809278890370706,0
systemd-oomd,0.01931377895751402,0,0,1,34.78561591124453,0
systemd-resolved,0.006314120043802661,0.1,0,1,34.75798527247635,0
systemd-timesyncd,0.0005571282391590583,0,0,1,34.81653506070698,0
accounts-daemon,0.0027237380581109517,0,0,1,34.84806186975425,0
acpid,0.0021047066812675532,0,0,1,34.823969954450554,0
avahi-daemon,0.0006809345145277379,0,0,1,34.792514634766206,0
cron,0.00012380627536867961,0,0,1,34.81728569901763,0
@dbus-daemon,0.008295020449701533,0,0,1,34.837552933405156,0
NetworkManager,0.0033427694349543497,0.1,0,1,34.74937080424461,0
irqbalance,0.0008047407898964176,0,0,1,34.80563293286183,0
python3,0.0014856753044241553,0.1,0,1,34.750514634051314,0
polkitd,0.002166609818951893,0,0,1,34.82028825226023,0
power-profiles-daemon,0.00030951568842169905,0,0,1,34.89234953008255,0
rsyslogd,0.0017951909928458543,0,0,1,34.86268144447117,0
snapd,0.019128069544461,0.2,0,1,34.75873591078699,0
switcheroo-control,0.00024761255073735923,0,0,1,34.83530101847321,0
systemd-logind,0.0011761596160024563,0,0,1,34.76942357054338,0
udisksd,0.0016713847174771746,0.1,0,1,34.85270867834398,0
wpa_supplicant,0.00030951568842169905,0,0,1,34.86082272103528,0
ModemManager,0.0008047407898964176,0.1,0,1,34.866077189209825,0
cupsd,0.000990450202949437,0.1,0,1,34.898712083382335,0
gdm3,0.0004952251014747185,0,0,1,34.89982016850758,0
gdm-autologin,0.0006190313768433981,0,0,1,34.86561250835085,0
cups-browsed,0.000309515688421699,0,0,1,34.84409421011224,0
kerneloops,0,0,0,1,34.85467463582425,0
systemd,1.1125850936006394,0,0,1,34.86189506147907,0
(sd-pam),0,0,0,1,34.881411657555944,0
pipewire,0.0004952251014747185,0,0,1,34.79115633687075,0
pipewire-media-session,0.0005571282391590583,0,0,1,34.80316654984113,0
pulseaudio,0.0030951568842169904,0.2,0,1,34.87522782766345,0
ubuntu-report,0.0015475784421084952,0,0,1,34.84698952931046,0
gnome-keyring-daemon,0.0016713847174771746,0,0,1,34.82979633752844,0
rtkit-daemon,0.0016713847174771748,0,0,1,34.91987293480634,0
gdm-wayland-session,0.00006190313768433981,0,0,1,34.82529250766455,0
dbus-daemon,0.019561391508251376,0,0,1,34.93109676478463,0
xdg-document-portal,0.0017332878551615145,0,0,1,34.832155486504774,0
gnome-session-binary,0.0008666439275807573,0.1,0,1,34.92673591364657,0
xdg-permission-store,0.00006190313768433981,0,0,1,34.94131974368204,0
fusermount3,0,0,0,1,34.87762272132124,0
gnome-session-ctl,0,0,0,1,34.88134016819303,0
gvfsd,0.0015475784421084952,0,0,1,34.94210612667415,0
gvfsd-fuse,0,0,0,1,34.95161421194237,0
at-spi-bus-launcher,0.00024761255073735923,0,0,1,34.83465761420694,0
gnome-shell,9.556358783157641,3.6,0,1,34.84030527387753,0
gnome-shell-calendar-server,0.0009285470652650972,0.1,0,1,34.919801445443426,0
evolution-source-registry,0.0016094815797928351,0.2,0,1,34.823969954450554,0
upowerd,0.0004952251014747185,0,0,1,34.91404655172845,0
gvfs-udisks2-volume-monitor,0.0011142564783181166,0,0,1,34.91086527507856,0
goa-daemon,0.004580832188641146,0.6,0,1,34.96265931851335,0
dconf-service,0.00037141882610603887,0,0,1,34.9617299567954,0
gvfsd-metadata,0.000309515688421699,0,0,1,34.954616765184966,0
gvfs-goa-volume-monitor,0.0004952251014747185,0,0,1,34.95772655247194,0
evolution-calendar-factory,0.004333219637903786,0.4,0,1,34.938996339387174,0
goa-identity-service,0.0008666439275807573,0.1,0,1,34.86189506147907,0
gvfs-afc-volume-monitor,0.0023523192320049125,0,0,1,34.86103718912404,0
gvfs-gphoto2-volume-monitor,0.0005571282391590583,0,0,1,34.94660995653804,0
gvfs-mtp-volume-monitor,0.00043332196379037864,0,0,1,35.016419319428415,0
evolution-addressbook-factory,0.0005571282391590583,0.2,0,1,34.92863038176392,0
packagekitd,0.1219491812381494,0.3,0,1,34.84502357183018,0
gvfsd-trash,0.0012380627536867962,0,0,1,34.85535378477198,0
gjs,0.0006809345145277379,0.2,0,1,34.94543038204988,0
at-spi2-registryd,0.000309515688421699,0,0,1,34.938102722350685,0
sh,0,0,0,1,34.919443998628836,0
gsd-a11y-settings,0.0001857094130530194,0,0,1,35.01398868108917,0
gsd-color,0.001299965891371136,0.2,0,1,34.91529761557953,0
ibus-daemon,0.04029894263250522,0.1,0,1,34.93445676484181,0
gsd-datetime,0.000309515688421699,0.1,0,1,34.920444849709696,0
gsd-housekeeping,0.0005571282391590583,0,0,1,34.92616399874321,0
gsd-keyboard,0.0009285470652650971,0.1,0,1,34.91590527516434,0
gsd-media-keys,0.0011761596160024563,0.2,0,1,34.925055913617975,0
gsd-power,0.0014237721667398155,0.2,0,1,34.99036144664445,0
gsd-print-notifications,0.0003714188261060388,0.1,0,1,34.987752084897906,0
gsd-rfkill,0.00024761255073735923,0,0,1,34.896388679087465,0
gsd-screensaver-proxy,0.00024761255073735923,0,0,1,34.89771123230147,0
gsd-sharing,0.000309515688421699,0,0,1,34.89746101953125,0
gsd-smartcard,0.0001857094130530194,0,0,1,34.98753761680915,0
gsd-sound,0.00024761255073735923,0,0,1,34.99021846791861,0
gsd-wacom,0.0008666439275807573,0.2,0,1,34.88316314694746,0
ibus-dconf,0.00006190313768433981,0,0,1,34.86614867857274,0
ibus-extension-gtk3,0.013061562051395699,0.2,0,1,34.86732825306091,0
evolution-alarm-notify,0.0024142223696892525,0.5,0,1,34.88491463633897,0
ibus-portal,0.0006809345145277379,0,0,1,34.8899188917433,0
gsd-disk-utility-notify,0.0001857094130530194,0,0,1,34.87662187024037,0
snapd-desktop-integration,0.0015475784421084952,0.1,0,1,34.859678891228576,0
gsd-printer,0.00012380627536867961,0.1,0,1,34.87562101915951,0
snap-store,0.04760351287925731,2,0,1,34.88652314700465,0
ibus-engine-simple,0.009533083203388328,0,0,1,34.89578101950265,0
xdg-desktop-portal,0.005942701217696621,0.1,0,1,34.86961591267431,0
colord,0.002352319232004913,0.1,0,1,34.957440595020266,0
tracker-miner-fs-3,0.011452080471602864,0.3,0,1,35.031753787774534,0
xdg-desktop-portal-gnome,0.00959498634107267,0.4,0,1,35.012201447016196,0
xdg-desktop-portal-gtk,0.002228512956636233,0.2,0,1,34.91386782832115,0
fwupd,0.0031570600219013303,0.2,0,1,34.89735378548687,0
tls-strp,0,0,0,1,34.989682297696724,0
snap,0.021356582501097232,0.1,0,1,34.89860484933796,0
update-notifier,0.041908424212298054,0.2,0,1,34.96837846754687,0
u12:1-writeback,0.038813267328081054,0,0,1,34.86075123167236,0
Xwayland,0.07248857422836191,0.5,0,1,34.964339318541946,0
gsd-xsettings,0.0018570941305301944,0.7,0,1,35.047660171024006,0
ibus-x11,0.002476125507373592,0.2,0,1,34.87798016813583,0
seahorse,0.0015475784421084952,0.3,0,1,34.899355487648606,0
gvfsd-google,0.000619031376843398,0.2,0,1,34.969164850538974,0
gvfsd-network,0.00012380627536867961,0,0,1,34.96559038239303,0
gvfsd-dnssd,0.00006190313768433981,0,0,1,34.974419318713515,0
u12:0-events_power_efficient,0.0052617667031688835,0,0,1,35.062244001059476,0
nautilus,0.04444645285735598,0.6,0,1,34.97409761658039,0
u12:2,0,0,0,1,34.99229165944327,0
gnome-terminal-server,0.0015475784421084952,0.4,0,1,34.83816059298997,0
bash,0.00012380627536867961,0,0,1,34.93045336051836,0
node,0.0008047407898964176,0.3,0,1,34.927736764727435,0
ps,0,0,0,1,34.90353761537936,0